"","ID","Year","meanDOE"
"1","SHRINE","2014",112
"2","SHRINE","2015",113.25
"3","SHRINE","2016",127
"4","SHRINE","2017",79
"5","SHRINE","2018",118.6
"6","SHRINE","2019",126
"7","SHRINE","2020",128
"8","SHRINE","2021",133
"9","HQ","2013",163
"10","HQ","2014",101.5
"11","HQ","2015",89
"12","HQ","2016",91
"13","HQ","2017",79
"14","HQ","2018",114.5
"15","HQ","2019",126
"16","HQ","2020",121
"17","HQ","2021",126
"18","HQ","2022",119
"19","ERD.A","2013",125.666666666667
"20","ERD.A","2014",125
"21","ERD.A","2015",124
"22","ERD.A","2016",141.833333333333
"23","ERD.A","2017",107
"24","ERD.A","2018",100
"25","ERD.A","2019",121.333333333333
"26","ERD.A","2020",128.833333333333
"27","ERD.A","2021",138
"28","ERD.A","2022",123.666666666667
"29","ERD.B","2013",120
"30","ERD.B","2014",96.25
"31","ERD.B","2015",118.25
"32","ERD.B","2016",120.75
"33","ERD.B","2017",107
"34","ERD.B","2018",100
"35","ERD.B","2019",120
"36","ERD.B","2020",121
"37","ERD.B","2021",127.5
"38","ERD.B","2022",115.75
"39","GCVC.A","2013",196
"40","GCVC.A","2014",102
"41","GCVC.A","2015",92.8333333333333
"42","GCVC.A","2016",92.3333333333333
"43","GCVC.A","2017",79
"44","GCVC.A","2018",109.333333333333
"45","GCVC.A","2019",126
"46","GCVC.A","2020",123.5
"47","GCVC.A","2021",126
"48","GCVC.A","2022",119
"49","GCVC.B","2013",239
"50","GCVC.B","2014",99
"51","GCVC.B","2015",89
"52","GCVC.B","2016",95
"53","GCVC.B","2017",79
"54","GCVC.B","2018",106.75
"55","GCVC.B","2019",126
"56","GCVC.B","2020",121
"57","GCVC.B","2021",122.5
"58","GCVC.B","2022",119
