"","Plant.ID","Date","DOY","Year","Leaves?","Canopy.Density"
"1",1,2013-05-30,150,2013,1,">95%"
"2",1,2014-06-02,153,2014,1,"75-94%"
"3",1,2015-06-14,165,2015,1,">95%"
"4",1,2016-06-20,172,2016,1,">95%"
"5",1,2017-06-26,177,2017,1,"50-74%"
"6",1,2018-06-14,165,2018,1,"50-74%"
"7",1,2019-06-17,168,2019,1,"50-74%"
"8",1,2020-06-01,153,2020,1,"75-94%"
"9",1,2021-06-04,155,2021,1,"75-94%"
"10",1,2022-06-08,159,2022,1,"50-74%"
"11",2,2013-05-30,150,2013,1,">95%"
"12",2,2014-06-02,153,2014,1,"75-94%"
"13",2,2015-06-18,169,2015,1,">95%"
"14",2,2016-06-20,172,2016,1,">95%"
"15",2,2017-06-26,177,2017,1,"50-74%"
"16",2,2018-06-14,165,2018,1,"50-74%"
"17",2,2019-06-13,164,2019,1,"50-74%"
"18",2,2020-06-15,167,2020,1,">95%"
"19",2,2021-06-04,155,2021,1,"75-94%"
"20",2,2022-06-08,159,2022,1,"75-94%"
"21",3,2013-05-30,150,2013,1,">95%"
"22",3,2014-06-02,153,2014,1,"50-74%"
"23",3,2015-06-12,163,2015,1,"75-94%"
"24",3,2016-06-20,172,2016,1,">95%"
"25",3,2017-06-26,177,2017,1,"75-94%"
"26",3,2018-06-14,165,2018,1,"75-94%"
"27",3,2019-06-17,168,2019,1,"25-49%"
"28",3,2020-06-01,153,2020,1,">95%"
"29",3,2021-05-04,124,2021,0,"<25%"
"30",3,2022-06-08,159,2022,1,">95%"
"31",4,2013-05-30,150,2013,1,">95%"
"32",4,2014-06-02,153,2014,1,"75-94%"
"33",4,2015-06-14,165,2015,1,">95%"
"34",4,2016-06-13,165,2016,1,">95%"
"35",4,2017-06-26,177,2017,1,"50-74%"
"36",4,2018-06-14,165,2018,1,"50-74%"
"37",4,2019-06-17,168,2019,1,"25-49%"
"38",4,2020-06-01,153,2020,1,">95%"
"39",4,2021-06-04,155,2021,1,"50-74%"
"40",4,2022-05-31,151,2022,1,"50-74%"
"41",5,2013-05-30,150,2013,1,">95%"
"42",5,2014-06-02,153,2014,1,"75-94%"
"43",5,2015-06-12,163,2015,1,">95%"
"44",5,2016-06-13,165,2016,1,">95%"
"45",5,2017-06-29,180,2017,1,"75-94%"
"46",5,2018-06-14,165,2018,1,"50-74%"
"47",5,2019-06-13,164,2019,1,"50-74%"
"48",5,2020-06-01,153,2020,1,">95%"
"49",5,2021-06-29,180,2021,1,"50-74%"
"50",5,2022-06-08,159,2022,1,"75-94%"
"51",6,2013-05-30,150,2013,1,">95%"
"52",6,2014-06-09,160,2014,1,"75-94%"
"53",6,2015-06-14,165,2015,1,">95%"
"54",6,2016-06-13,165,2016,1,">95%"
"55",6,2017-06-26,177,2017,1,"75-94%"
"56",6,2018-06-14,165,2018,1,"25-49%"
"57",6,2019-06-17,168,2019,1,"50-74%"
"58",6,2020-06-01,153,2020,1,"75-94%"
"59",6,2021-06-04,155,2021,1,"50-74%"
"60",6,2022-05-31,151,2022,1,"50-74%"
"61",7,2013-05-16,136,2013,1,">95%"
"62",7,2014-05-12,132,2014,1,"75-94%"
"63",7,2015-06-14,165,2015,1,">95%"
"64",7,2016-05-24,145,2016,1,">95%"
"65",7,2017-06-26,177,2017,1,"75-94%"
"66",7,2018-06-14,165,2018,1,"50-74%"
"67",7,2019-06-03,154,2019,1,"50-74%"
"68",7,2020-06-01,153,2020,1,">95%"
"69",7,2021-06-04,155,2021,1,"75-94%"
"70",7,2022-06-08,159,2022,1,">95%"
"71",8,2013-05-13,133,2013,1,">95%"
"72",8,2014-05-21,141,2014,1,"75-94%"
"73",8,2015-06-08,159,2015,1,">95%"
"74",8,2016-05-24,145,2016,1,">95%"
"75",8,2017-06-26,177,2017,1,"75-94%"
"76",8,2018-06-14,165,2018,1,"50-74%"
"77",8,2019-05-30,150,2019,1,"50-74%"
"78",8,2020-06-15,167,2020,1,">95%"
"79",8,2021-06-04,155,2021,1,"75-94%"
"80",8,2022-06-08,159,2022,1,">95%"
"81",9,2013-05-28,148,2013,1,">95%"
"82",9,2014-05-21,141,2014,1,"50-74%"
"83",9,2015-06-22,173,2015,1,">95%"
"84",9,2016-05-24,145,2016,1,">95%"
"85",9,2017-05-26,146,2017,1,"50-74%"
"86",9,2018-06-14,165,2018,1,"75-94%"
"87",9,2019-06-03,154,2019,1,"25-49%"
"88",9,2020-06-15,167,2020,1,">95%"
"89",9,2021-06-29,180,2021,1,"75-94%"
"90",9,2022-05-23,143,2022,1,"50-74%"
"91",10,2013-05-28,148,2013,1,">95%"
"92",10,2014-06-02,153,2014,1,"50-74%"
"93",10,2015-06-14,165,2015,1,"75-94%"
"94",10,2016-06-13,165,2016,1,">95%"
"95",10,2017-05-26,146,2017,1,"25-49%"
"96",10,2018-06-14,165,2018,1,"25-49%"
"97",10,2019-05-02,122,2019,0,"<25%"
"98",10,2020-05-18,139,2020,1,"75-94%"
"99",10,2021-06-04,155,2021,1,"75-94%"
"100",10,2022-06-08,159,2022,1,"75-94%"
