"","Plant.ID","DOY","Year"
"1",1,127,2013
"2",1,125,2014
"3",1,124,2015
"4",1,145,2016
"5",1,107,2017
"6",1,100,2018
"7",1,122,2019
"8",1,128,2020
"9",1,138,2021
"10",1,110,2022
"11",2,129,2013
"12",2,125,2014
"13",2,124,2015
"14",2,145,2016
"15",2,107,2017
"16",2,100,2018
"17",2,120,2019
"18",2,128,2020
"19",2,138,2021
"20",2,125,2022
"21",3,127,2013
"22",3,125,2014
"23",3,124,2015
"24",3,126,2016
"25",3,107,2017
"26",3,100,2018
"27",3,126,2019
"28",3,139,2020
"29",3,118,2022
"30",4,122,2013
"31",4,125,2014
"32",4,124,2015
"33",4,145,2016
"34",4,107,2017
"35",4,100,2018
"36",4,120,2019
"37",4,125,2020
"38",4,138,2021
"39",4,132,2022
"40",5,122,2013
"41",5,125,2014
"42",5,124,2015
"43",5,145,2016
"44",5,107,2017
"45",5,100,2018
"46",5,120,2019
"47",5,128,2020
"48",5,138,2021
"49",5,132,2022
"50",6,127,2013
"51",6,125,2014
"52",6,124,2015
"53",6,145,2016
"54",6,107,2017
"55",6,100,2018
"56",6,120,2019
"57",6,125,2020
"58",6,138,2021
"59",6,125,2022
"60",7,120,2013
"61",7,90,2014
"62",7,116,2015
"63",7,119,2016
"64",7,107,2017
"65",7,100,2018
"66",7,120,2019
"67",7,121,2020
"68",7,124,2021
"69",7,110,2022
"70",8,120,2013
"71",8,92,2014
"72",8,116,2015
"73",8,119,2016
"74",8,107,2017
"75",8,100,2018
"76",8,120,2019
"77",8,121,2020
"78",8,124,2021
"79",8,110,2022
"80",9,120,2013
"81",9,90,2014
"82",9,124,2015
"83",9,126,2016
"84",9,107,2017
"85",9,100,2018
"86",9,120,2019
"87",9,121,2020
"88",9,131,2021
"89",9,118,2022
"90",10,120,2013
"91",10,113,2014
"92",10,117,2015
"93",10,119,2016
"94",10,107,2017
"95",10,100,2018
"96",10,120,2019
"97",10,121,2020
"98",10,131,2021
"99",10,125,2022
